MS01BRED
Wavelength = 1.54059
11.3724	12.00
11.3928	18.00
11.4132	14.00
11.4336	10.00
11.454	15.00
11.4745	5.00
11.4949	16.00
11.5153	15.00
11.5357	14.00
11.5562	19.00
11.5766	11.00
11.597	12.00
11.6174	17.00
11.6379	13.00
11.6583	12.00
11.6787	12.00
11.6991	14.00
11.7196	15.00
11.74	8.00
11.7604	19.00
11.7808	15.00
11.8013	12.00
11.8217	17.00
11.8421	16.00
11.8625	12.00
11.883	20.00
11.9034	14.00
11.9238	22.00
11.9442	12.00
11.9647	8.00
11.9851	13.00
12.0055	16.00
12.0259	10.00
12.0464	20.00
12.0668	13.00
12.0872	18.00
12.1076	17.00
12.128	17.00
12.1485	14.00
12.1689	13.00
12.1893	11.00
12.2097	11.00
12.2302	12.00
12.2506	20.00
12.271	23.00
12.2914	12.00
12.3119	15.00
12.3323	18.00
12.3527	14.00
12.3731	18.00
12.3936	12.00
12.414	10.00
12.4344	15.00
12.4548	17.00
12.4753	13.00
12.4957	17.00
12.5161	12.00
12.5365	12.00
12.557	19.00
12.5774	14.00
12.5978	20.00
12.6182	6.00
12.6387	16.00
12.6591	14.00
12.6795	20.00
12.6999	8.00
12.7203	9.00
12.7408	28.00
12.7612	11.00
12.7816	17.00
12.802	16.00
12.8225	15.00
12.8429	14.00
12.8633	12.00
12.8837	20.00
12.9042	18.00
12.9246	18.00
12.945	9.00
12.9654	10.00
12.9859	13.00
13.0063	12.00
13.0267	25.00
13.0471	12.00
13.0676	17.00
13.088	12.00
13.1084	17.00
13.1288	17.00
13.1493	15.00
13.1697	17.00
13.1901	15.00
13.2105	16.00
13.231	12.00
13.2514	9.00
13.2718	15.00
13.2922	15.00
13.3126	15.00
13.3331	15.00
13.3535	12.00
13.3739	18.00
13.3943	10.00
13.4148	12.00
13.4352	11.00
13.4556	22.00
13.476	10.00
13.4965	15.00
13.5169	14.00
13.5373	19.00
13.5577	18.00
13.5782	12.00
13.5986	16.00
13.619	23.00
13.6394	20.00
13.6599	14.00
13.6803	13.00
13.7007	21.00
13.7211	18.00
13.7416	16.00
13.762	11.00
13.7824	9.00
13.8028	10.00
13.8233	14.00
13.8437	20.00
13.8641	11.00
13.8845	9.00
13.905	13.00
13.9254	9.00
13.9458	13.00
13.9662	17.00
