200.889	410
202.734	418
204.577	418
206.421	440
208.262	499
210.105	554
211.947	606
213.789	672
215.631	802
217.47	1025
219.311	1200
221.149	1502
222.989	1672
224.827	1674
226.667	1534
228.504	1348
230.342	1076
232.179	894
234.014	770
235.85	723
237.687	706
239.522	718
241.357	762
243.191	782
245.024	778
246.858	796
248.691	755
250.523	628
252.354	576
254.185	547
256.017	518
257.848	519
259.677	492
261.507	509
263.335	523
265.165	535
266.992	554
268.821	574
270.648	632
272.474	622
274.302	684
276.128	785
277.953	812
279.778	968
281.602	1130
283.426	1320
285.25	1498
287.073	1640
288.896	1712
290.719	1738
292.541	1672
294.363	1667
296.182	1562
298.003	1578
299.824	1519
301.643	1483
303.463	1433
305.28	1398
307.1	1321
308.917	1212
310.733	1123
312.552	1019
314.367	898
316.183	824
317.998	740
319.813	686
321.627	636
323.441	603
325.255	580
327.069	542
328.882	540
330.694	548
332.507	538
334.316	516
336.128	509
337.939	504
339.748	510
341.559	515
343.367	503
345.177	475
346.984	460
348.791	493
350.6	468
352.406	474
354.212	468
356.018	484
357.823	482
359.628	470
361.432	478
363.237	484
365.04	495
366.844	499
368.647	494
370.45	484
372.25	493
374.052	526
375.854	526
377.653	528
379.454	539
381.253	560
383.053	550
384.851	572
386.649	606
388.446	622
390.245	659
392.042	706
393.838	720
395.633	816
397.429	870
399.224	952
401.019	1040
402.813	1120
404.607	1176
406.399	1208
408.192	1324
409.985	1363
411.776	1278
413.568	1282
415.358	1186
417.15	1062
418.939	1008
420.73	920
422.518	844
424.306	770
426.094	686
427.884	659
429.671	604
431.458	588
433.244	569
435.03	510
436.816	498
438.601	497
440.384	498
442.169	474
443.953	487
445.737	470
447.519	466
449.302	444
451.083	441
452.865	457
454.646	456
456.425	450
458.207	450
459.986	459
461.765	472
463.543	463
465.322	424
467.099	452
468.877	480
470.654	485
472.431	470
474.207	458
475.983	468
477.759	476
479.532	490
481.307	490
483.08	511
484.854	519
486.626	520
488.4	544
490.171	554
491.944	544
493.714	578
495.485	560
497.255	576
499.024	554
500.793	566
502.562	579
504.331	550
506.099	510
507.867	526
509.634	498
511.401	496
513.166	488
514.933	470
516.697	452
518.462	458
520.226	450
521.991	454
523.754	427
525.516	402
527.28	430
529.042	406
530.803	422
532.564	414
534.325	415
536.085	430
537.845	427
539.605	416
541.364	410
543.123	414
544.88	408
546.638	424
548.396	413
550.152	406
551.909	428
553.664	413
555.421	418
557.175	422
558.929	424
560.682	428
562.438	430
564.191	420
565.943	440
567.695	412
569.447	418
571.199	440
572.95	424
574.699	444
576.449	442
578.2	442
579.948	450
581.697	447
583.444	474
585.193	474
586.94	483
588.688	469
590.434	494
592.179	497
593.924	502
595.671	530
597.416	530
599.16	556
600.904	588
602.647	588
604.388	614
606.131	663
607.874	672
609.616	690
611.356	686
613.097	706
614.836	734
616.577	742
618.316	710
620.056	740
621.794	718
623.531	714
625.268	684
627.007	680
628.743	664
630.48	656
632.215	644
633.949	680
635.684	624
637.419	632
639.153	624
640.888	644
642.619	630
644.353	665
646.084	656
